district_id,district_name,fiscal_year,enrollment,total_revenue,instructional_expenditures,admin_expenditures,total_expenditures,spending_per_student,admin_overhead_ratio,state_code
0509570,MAYNARD SCHOOL DISTRICT,2019,546,5421000.0,2714000,1700000,4902000,8978.02,0.6264,AR
0509600,MCCRORY SCHOOL DISTRICT,2019,620,6833000.0,3977000,2251000,7468000,12045.16,0.566,AR
0509630,MCGEHEE SCHOOL DISTRICT,2019,1195,14467000.0,7164000,4746000,14720000,12317.99,0.6625,AR
0509720,MELBOURNE SCHOOL DISTRICT,2019,931,9535000.0,5242000,2801000,9511000,10215.9,0.5343,AR
0509750,MENA SCHOOL DISTRICT,2019,1763,18845000.0,9501000,6143000,17831000,10114.01,0.6466,AR
0509780,MINERAL SPRINGS SCHOOL DIST.,2019,411,8339000.0,3764000,3100000,8079000,19656.93,0.8236,AR
0509840,MONTICELLO SCHOOL DISTRICT,2019,1844,21037000.0,10950000,6882000,19800000,10737.53,0.6285,AR
0509990,MOUNT IDA SCHOOL DISTRICT,2019,447,5709000.0,2886000,1939000,5519000,12346.76,0.6719,AR
0510080,MT. VERNON/ENOLA SCHOOL DIST.,2019,545,5583000.0,2703000,1850000,5881000,10790.83,0.6844,AR
0510170,MOUNTAIN PINE SCHOOL DISTRICT,2019,604,7439000.0,3484000,3076000,7275000,12044.7,0.8829,AR
0510200,MOUNTAIN VIEW SCHOOL DISTRICT,2019,1643,17380000.0,10607000,5396000,17394000,10586.73,0.5087,AR
0510260,MOUNTAINBURG SCHOOL DISTRICT,2019,659,7468000.0,3610000,2779000,7065000,10720.79,0.7698,AR
0510290,MULBERRY SCHOOL DISTRICT,2019,461,5413000.0,2410000,2141000,7954000,17253.8,0.8884,AR
0510320,SOUTH PIKE COUNTY SCHOOL DISTRICT,2019,711,8169000.0,4476000,3159000,8164000,11482.42,0.7058,AR
0510380,NASHVILLE SCHOOL DISTRICT,2019,1924,20822000.0,11327000,6370000,20164000,10480.25,0.5624,AR
0510410,NEMO VISTA SCHOOL DISTRICT,2019,515,5842000.0,3019000,2302000,5933000,11520.39,0.7625,AR
0510440,NETTLETON SCHOOL DISTRICT,2019,3717,43028000.0,20906000,14129000,39489000,10623.89,0.6758,AR
0510560,NORFORK SCHOOL DISTRICT,2019,423,5363000.0,2556000,1620000,4634000,10955.08,0.6338,AR
0510680,N. LITTLE ROCK SCHOOL DISTRICT,2019,8681,105083000.0,54507000,34209000,100267000,11550.17,0.6276,AR
0510920,OMAHA SCHOOL DISTRICT,2019,435,5010000.0,2863000,1671000,5138000,11811.49,0.5837,AR
0510950,OSCEOLA SCHOOL DISTRICT,2019,1147,17128000.0,6297000,7100000,15312000,13349.61,1.1275,AR
0510980,OUACHITA SCHOOL DISTRICT,2019,549,5569000.0,2405000,2307000,5212000,9493.62,0.9593,AR
0511010,OZARK SCHOOL DISTRICT,2019,1767,19565000.0,10014000,6178000,17997000,10185.06,0.6169,AR
0511070,PANGBURN SCHOOL DISTRICT,2019,804,10751000.0,4330000,2776000,8113000,10090.8,0.6411,AR
0511130,PARIS SCHOOL DISTRICT,2019,1072,12072000.0,5823000,4450000,11672000,10888.06,0.7642,AR
0511220,PARKERS CHAPEL SCHOOL DIST.,2019,881,8144000.0,4346000,2585000,8437000,9576.62,0.5948,AR
0511340,PERRYVILLE SCHOOL DISTRICT,2019,913,9307000.0,5126000,3117000,9371000,10263.96,0.6081,AR
0511370,PIGGOTT SCHOOL DISTRICT,2019,881,9224000.0,4883000,2557000,8467000,9610.67,0.5237,AR
0511610,POCAHONTAS SCHOOL DISTRICT,2019,2122,25526000.0,11361000,5535000,30165000,14215.36,0.4872,AR
0511700,POTTSVILLE SCHOOL DISTRICT,2019,1762,18069000.0,10043000,4782000,17086000,9696.94,0.4762,AR
0511730,POYEN SCHOOL DISTRICT,2019,602,5754000.0,3056000,1968000,5497000,9131.23,0.644,AR
0511760,PRAIRIE GROVE SCHOOL DISTRICT,2019,2058,20494000.0,10567000,5980000,19323000,9389.21,0.5659,AR
0511820,PRESCOTT SCHOOL DISTRICT,2019,916,10992000.0,5192000,3911000,10615000,11588.43,0.7533,AR
0511850,PULASKI CO. SPEC. SCHOOL DIST.,2019,12274,160853000.0,76283000,64209000,180089000,14672.4,0.8417,AR
0511880,QUITMAN SCHOOL DISTRICT,2019,746,9395000.0,4281000,2343000,7821000,10483.91,0.5473,AR
0511970,ROGERS SCHOOL DISTRICT,2019,16053,191805000.0,87529000,63200000,215626000,13432.13,0.722,AR
0512000,ROSE BUD SCHOOL DISTRICT,2019,766,8835000.0,4590000,3184000,9538000,12451.7,0.6937,AR
0512060,RUSSELLVILLE SCHOOL DISTRICT,2019,5439,67465000.0,33811000,22363000,63774000,11725.32,0.6614,AR
0512090,SALEM SCHOOL DISTRICT,2019,841,8833000.0,4402000,2599000,8639000,10272.29,0.5904,AR
0512180,SCRANTON SCHOOL DISTRICT,2019,450,4801000.0,2263000,1602000,4234000,9408.89,0.7079,AR
0512210,SEARCY SCHOOL DISTRICT,2019,4017,43239000.0,21845000,12148000,40522000,10087.63,0.5561,AR
0512420,SHIRLEY SCHOOL DISTRICT,2019,350,4897000.0,2247000,1508000,4202000,12005.71,0.6711,AR
0512450,SILOAM SPRINGS SCHOOL DISTRICT,2019,4511,49527000.0,24338000,16046000,46452000,10297.5,0.6593,AR
0512480,SLOAN-HENDRIX SCHOOL DIST.,2019,737,9132000.0,3531000,2606000,10473000,14210.31,0.738,AR
0512510,SMACKOVER SCHOOL DISTRICT,2019,1143,12483000.0,6536000,4712000,12329000,10786.53,0.7209,AR
0512520,SO. CONWAY CO. SCHOOL DISTRICT,2019,2362,28165000.0,12708000,9508000,33129000,14025.83,0.7482,AR
0512540,SOUTHSIDE SCHOOL DISTRICT,2019,2242,21429000.0,9803000,7007000,20071000,8952.27,0.7148,AR
